id	src_audio	src_n_frames	src_text	tgt_text	tgt_audio	tgt_n_frames
common_voice_es_18318147	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 6/common_voice_es_18318147.wav	0	¿ Oh , qué ? ¿ qué ? esto es plástico . él no puede volar .	What? What? This is plastic. He can’t fly.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 1/common_voice_en_142.wav	0
common_voice_es_18322029	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 8/common_voice_es_18322029.wav	0	la noche de nuestras bodas en el convento se me aparecía ya muy lejana ,	Our wedding night at the convent seemed so far away.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 8/common_voice_en_8297.wav	0
common_voice_es_18344823	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 9/common_voice_es_18344823.wav	0	deje que lo intente otra vez . no , puedo sola . gracias .	let me try it one more time. no, I can do it alone. thank you	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 5/common_voice_en_2499.wav	0
common_voice_es_18342530	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 9/common_voice_es_18342530.wav	0	Oh , genial . ¿ cómo voy a convencer a los muchachos que fue un accidente ?	Oh great. How am I going to convince the boys that it was an accident?	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 10/common_voice_en_9099.wav	0
common_voice_es_18344900	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 9/common_voice_es_18344900.wav	0	sacudido por largo estremecimiento me acosté .	I lay down shaken by long shiver.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 4/common_voice_en_1660.wav	0
common_voice_es_18314040	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 6/common_voice_es_18314040.wav	0	no me digas , me los he perdido . ¡ corre , corre ! mira .	don’t tell me. I missed them. run! run! look	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 9/common_voice_en_8545.wav	0
common_voice_es_18364427	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 10/common_voice_es_18364427.wav	0	Despídete de tu mujer y de tus patatitas.	Forget about your wife and your potatoes.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 1/common_voice_en_319.wav	0
common_voice_es_18322312	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 8/common_voice_es_18322312.wav	0	¿ quieres bajar , Ricardo ? no te recrees , macho .	Do you want to come down, Ricardo? Don't look, nasty.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 3/common_voice_en_1164.wav	0
common_voice_es_18343330	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 9/common_voice_es_18343330.wav	0	por fin tenemos algo que celebrar en el Estrella .	We finally have something to celebrate in the Estrella.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 7/common_voice_en_3569.wav	0
common_voice_es_18313965	E:/Thesis_Datasets/CommonVoice_v4/es/cv-corpus-22.0-2025-06-20/es/1st Batch - 5000 WAV/Clips - Batch 6/common_voice_es_18313965.wav	0	pero esos comentarios , duelen .	But those comment are hurtful.	E:/Thesis_Datasets/CommonVoice_v4/en/1st Batch - 5000 WAV/Clips - Batch 8/common_voice_en_7890.wav	0
